zip,locality,canton
3415,"Burgdorf,Hasle bei Burgdorf,Heimiswil,Lützelflüh,Oberburg,Rüegsau,Walkringen",BE
3416,"Affoltern im Emmental,Heimiswil,Rüegsau,Sumiswald,Wynigen",BE
3417,"Heimiswil,Lützelflüh,Rüegsau",BE
3418,"Affoltern im Emmental,Heimiswil,Lützelflüh,Rüegsau,Sumiswald",BE
3419,"Hasle bei Burgdorf,Lützelflüh,Oberburg,Vechigen,Walkringen",BE
3421,"Burgdorf,Fraubrunnen,Hindelbank,Kernenried,Kirchberg (BE),Lyssach,Oberburg,Rüdtligen-Alchenflüh,Rüti bei Lyssach",BE
3422,"Aefligen,Burgdorf,Ersigen,Fraubrunnen,Kirchberg (BE),Lyssach,Rüdtligen-Alchenflüh,Utzenstorf,Wynigen",BE
3423,"Ersigen,Kirchberg (BE),Rumendingen,Utzenstorf",BE
3424,"Alchenstorf,Ersigen,Koppigen,Rumendingen,Utzenstorf",BE
3426,"Aefligen,Bätterkinden,Fraubrunnen,Rüdtligen-Alchenflüh,Utzenstorf",BE
3427,"Aefligen,Bätterkinden,Ersigen,Kirchberg (BE),Koppigen,Utzenstorf,Wiler bei Utzenstorf,Zielebach",BE
3428,"Bätterkinden,Utzenstorf,Wiler bei Utzenstorf,Zielebach",BE
3432,"Hasle bei Burgdorf,Lützelflüh,Rüderswil,Rüegsau,Walkringen",BE
3433,"Hasle bei Burgdorf,Landiswil,Lauperswil,Lützelflüh,Rüderswil",BE
3434,"Arni (BE),Landiswil,Lauperswil,Lützelflüh,Rüderswil,Walkringen",BE
3435,"Lützelflüh,Rüderswil",BE
3436,"Langnau im Emmental,Lauperswil,Rüderswil,Trachselwald",BE
3437,"Lauperswil,Lützelflüh,Rüderswil",BE
3438,"Landiswil,Lauperswil,Rüderswil",BE
3439,"Lützelflüh,Rüderswil,Trachselwald",BE
3452,"Lützelflüh,Rüegsau,Sumiswald,Trachselwald",BE
3453,"Langnau im Emmental,Lauperswil,Lützelflüh,Rüderswil,Sumiswald,Trachselwald",BE
3454,"Affoltern im Emmental,Lützelflüh,Rüegsau,Sumiswald,Trachselwald",BE
3455,"Lützelflüh,Sumiswald,Trachselwald",BE
3456,"Lützelflüh,Sumiswald,Trachselwald",BE
3462,"Affoltern im Emmental,Dürrenroth,Sumiswald",BE
3463,"Affoltern im Emmental,Dürrenroth,Walterswil (BE),Wynigen",BE
3464,"Affoltern im Emmental,Dürrenroth,Heimiswil,Oeschenbach,Walterswil (BE),Wynigen",BE
3465,"Affoltern im Emmental,Dürrenroth,Huttwil,Rohrbachgraben,Sumiswald,Walterswil (BE),Wyssachen",BE
