zip,url,price_chf,rooms,area_m2,canton
2542,https://www.homegate.ch/louer/4002189262,1330.0,2.5,56.0,BE
2542,https://www.homegate.ch/louer/4002472904,1870.0,3.5,74.0,BE
2542,https://www.homegate.ch/louer/4002688698,1255.0,3.0,87.0,BE
2542,https://www.homegate.ch/louer/4002364207,1480.0,2.5,56.0,BE
2542,https://www.homegate.ch/louer/4002704679,1790.0,3.5,106.0,BE
2542,https://www.homegate.ch/louer/4002320444,1190.0,3.5,,BE
2542,https://www.homegate.ch/louer/4002189265,1745.0,3.5,94.0,BE
2542,https://www.homegate.ch/louer/4002721967,1140.0,2.5,,BE
2542,https://www.homegate.ch/louer/4002693257,1195.0,4.0,,BE
2542,https://www.homegate.ch/louer/4002401383,1990.0,5.5,144.0,BE
2542,https://www.homegate.ch/louer/4002345806,1400.0,4.0,80.0,BE
2542,https://www.homegate.ch/louer/4002425509,1850.0,5.0,,BE
2542,https://www.homegate.ch/louer/4002632107,2080.0,4.5,99.0,BE
2552,https://www.homegate.ch/louer/4002749175,1350.0,3.5,65.0,BE
2552,https://www.homegate.ch/louer/4002658532,,88.0,,BE
2552,https://www.homegate.ch/louer/4002683545,1050.0,2.0,,BE
2552,https://www.homegate.ch/louer/4002675743,1190.0,2.0,,BE
2552,https://www.homegate.ch/louer/4002724641,1220.0,3.0,,BE
2552,https://www.homegate.ch/louer/4002743144,1470.0,2.0,60.0,BE
2552,https://www.homegate.ch/louer/4002542448,1400.0,4.5,70.0,BE
2552,https://www.homegate.ch/louer/4002506451,1990.0,3.5,93.0,BE
2552,https://www.homegate.ch/louer/4002433634,1360.0,3.5,67.0,BE
2552,https://www.homegate.ch/louer/4002733967,990.0,2.5,,BE
2552,https://www.homegate.ch/louer/4002716574,1640.0,4.5,80.0,BE
2552,https://www.homegate.ch/louer/4001944592,1230.0,3.0,,BE
2552,https://www.homegate.ch/louer/4002704795,1250.0,3.0,67.0,BE
2552,https://www.homegate.ch/louer/4002661254,600.0,14.0,,BE
2552,https://www.homegate.ch/louer/4002575996,1190.0,3.0,64.0,BE
2552,https://www.homegate.ch/louer/4002704951,1250.0,3.0,67.0,BE
2552,https://www.homegate.ch/louer/4002664083,520.0,12.0,,BE
2553,https://www.homegate.ch/louer/4002743892,1720.0,4.0,97.0,BE
2553,https://www.homegate.ch/louer/4002689794,1780.0,3.5,100.0,BE
